epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,234.094,0.99199,0.66142,1.20316,0.78267,0.93333,0.78236,0.60985,0.756,0.45445,1.04547,0.000918991,0.000918991,0.000918991
43,239.472,0.95819,0.67263,1.17884,0.88862,0.90438,0.93906,0.65337,0.77265,0.43776,1.06667,0.000897557,0.000897557,0.000897557
44,244.882,0.98162,0.66344,1.19993,0.75305,0.93333,0.78388,0.60261,0.81479,0.5594,1.10154,0.00087595,0.00087595,0.00087595
45,250.35,0.96999,0.65494,1.18132,0.76317,0.92137,0.78136,0.59246,0.84391,0.49696,1.08927,0.00085419,0.00085419,0.00085419
46,255.699,0.97042,0.64136,1.16073,0.81744,0.93333,0.83781,0.60804,0.84185,0.42021,1.10663,0.0008323,0.0008323,0.0008323
47,260.999,0.97162,0.65629,1.188,0.8084,0.76667,0.75764,0.60625,0.77786,0.50811,1.10426,0.0008103,0.0008103,0.0008103
48,266.452,0.96104,0.66986,1.19106,0.82015,0.91808,0.83538,0.57924,0.89754,0.47488,1.16445,0.000788213,0.000788213,0.000788213
49,271.763,0.91365,0.6038,1.15321,0.73776,0.76667,0.78375,0.54449,0.95717,0.46059,1.19232,0.00076606,0.00076606,0.00076606
50,277.249,0.8803,0.59021,1.13422,0.78557,0.76667,0.72429,0.58315,0.82087,0.55594,1.0905,0.000743864,0.000743864,0.000743864
51,282.635,0.92336,0.62936,1.17058,0.73194,0.93333,0.76151,0.59764,0.8351,0.48646,1.09621,0.000721645,0.000721645,0.000721645
52,287.892,0.91517,0.60548,1.15245,0.73863,0.93333,0.75234,0.56396,0.86836,0.46324,1.13372,0.000699426,0.000699426,0.000699426
53,293.287,0.90032,0.58049,1.15267,0.82095,0.76667,0.86971,0.67793,0.801,0.43232,1.07278,0.00067723,0.00067723,0.00067723
54,298.838,0.86483,0.56136,1.12502,0.91717,0.74806,0.84982,0.70463,0.73995,0.39222,1.0496,0.000655077,0.000655077,0.000655077
55,304.191,0.83239,0.55022,1.11816,0.81794,0.92937,0.86857,0.61569,0.83962,0.4701,1.11001,0.00063299,0.00063299,0.00063299
56,309.528,0.82861,0.55295,1.1037,0.71305,0.93333,0.76654,0.57982,0.75676,0.47338,1.06315,0.00061099,0.00061099,0.00061099
57,314.92,0.82525,0.53199,1.09566,0.78157,0.93333,0.78871,0.5763,0.81678,0.42838,1.08812,0.0005891,0.0005891,0.0005891
58,320.321,0.8065,0.50359,1.08957,0.7942,0.92868,0.74033,0.57633,0.79692,0.51227,1.11676,0.00056734,0.00056734,0.00056734
59,325.787,0.85388,0.56044,1.12916,0.81295,0.93333,0.85986,0.70477,0.79072,0.45486,1.0761,0.000545733,0.000545733,0.000545733
60,331.121,0.82965,0.52986,1.09377,0.77196,0.93333,0.87038,0.67081,0.73069,0.43594,1.04693,0.000524299,0.000524299,0.000524299
61,336.433,0.77708,0.50957,1.08459,0.86229,0.93333,0.84928,0.62419,0.88646,0.43263,1.13415,0.00050306,0.00050306,0.00050306
62,341.708,0.7927,0.53064,1.10083,0.81306,0.92178,0.79115,0.59595,0.84792,0.42344,1.09757,0.000482037,0.000482037,0.000482037
63,347.076,0.79882,0.51684,1.08405,0.86242,0.93333,0.84697,0.61404,0.86874,0.41713,1.1069,0.00046125,0.00046125,0.00046125
64,352.467,0.77124,0.51646,1.07642,0.87655,0.93333,0.84606,0.60888,0.82104,0.40075,1.08189,0.00044072,0.00044072,0.00044072
65,357.864,0.75189,0.48471,1.06095,0.87162,0.93333,0.84778,0.62381,0.81759,0.4087,1.08151,0.000420468,0.000420468,0.000420468
66,363.285,0.72795,0.48026,1.03461,0.87253,0.92048,0.84653,0.63128,0.77598,0.4185,1.07876,0.000400513,0.000400513,0.000400513
67,368.656,0.74778,0.49305,1.05322,0.87595,0.93049,0.84778,0.64559,0.84317,0.39549,1.10509,0.000380874,0.000380874,0.000380874
68,374.226,0.7124,0.45511,1.04355,0.8699,0.93333,0.84928,0.64649,0.7943,0.40859,1.07212,0.000361572,0.000361572,0.000361572
69,379.927,0.72196,0.47508,1.0395,0.86954,0.93271,0.84778,0.62129,0.79166,0.40028,1.0679,0.000342625,0.000342625,0.000342625
70,385.393,0.71634,0.4759,1.03809,0.86354,0.93333,0.84803,0.61813,0.79895,0.39359,1.09139,0.000324053,0.000324053,0.000324053
71,390.82,0.72655,0.4713,1.04097,0.87424,0.93333,0.84803,0.61226,0.79487,0.4035,1.10777,0.000305872,0.000305872,0.000305872
72,396.11,0.69874,0.46119,1.0395,0.87961,0.92576,0.84986,0.62075,0.80407,0.41479,1.1322,0.000288102,0.000288102,0.000288102
73,401.555,0.70416,0.4658,1.04405,0.87637,0.9256,0.84928,0.62154,0.78372,0.40048,1.0889,0.00027076,0.00027076,0.00027076
74,406.989,0.67611,0.43833,1.02796,0.87023,0.92641,0.84928,0.62897,0.78118,0.4065,1.0816,0.000253863,0.000253863,0.000253863
75,412.43,0.67542,0.44323,1.01966,0.80733,0.93333,0.794,0.59099,0.81798,0.4437,1.07041,0.000237427,0.000237427,0.000237427
76,417.744,0.65361,0.43805,1.01677,0.80937,0.93333,0.794,0.59864,0.82456,0.45056,1.07823,0.000221469,0.000221469,0.000221469
77,423.056,0.64392,0.43282,1.00458,0.77687,0.92515,0.7925,0.61784,0.78874,0.43839,1.06445,0.000206005,0.000206005,0.000206005
78,428.666,0.64581,0.42351,1.00133,0.7835,0.9243,0.794,0.60094,0.78816,0.4322,1.05728,0.00019105,0.00019105,0.00019105
79,434.017,0.64562,0.42345,1.00856,0.79303,0.93333,0.7955,0.60471,0.75448,0.42557,1.05879,0.000176619,0.000176619,0.000176619
80,439.433,0.64032,0.41424,0.99972,0.81259,0.93333,0.79733,0.60127,0.84031,0.43714,1.10581,0.000162725,0.000162725,0.000162725
81,444.79,0.61693,0.40792,0.98679,0.88239,0.92402,0.85111,0.61486,0.82948,0.41555,1.10722,0.000149383,0.000149383,0.000149383
82,450.134,0.60705,0.40222,0.97989,0.87057,0.92647,0.84928,0.61769,0.83827,0.43058,1.10284,0.000136605,0.000136605,0.000136605
83,455.618,0.60495,0.39753,0.98203,0.81051,0.93333,0.79583,0.59883,0.83889,0.43208,1.10725,0.000124405,0.000124405,0.000124405
84,460.988,0.60904,0.4103,0.99033,0.87191,0.92316,0.85261,0.64058,0.81694,0.42093,1.09874,0.000112795,0.000112795,0.000112795
85,466.296,0.6133,0.40659,0.99946,0.88127,0.93333,0.85111,0.63094,0.82332,0.41234,1.10444,0.000101785,0.000101785,0.000101785
86,471.607,0.59842,0.38399,0.98098,0.87854,0.93333,0.85111,0.62951,0.80557,0.42108,1.09044,9.13871e-05,9.13871e-05,9.13871e-05
87,476.94,0.60362,0.40421,0.98446,0.87477,0.93193,0.85111,0.63295,0.79465,0.40654,1.09628,8.16111e-05,8.16111e-05,8.16111e-05
88,482.523,0.62218,0.42288,0.98882,0.87769,0.93333,0.85111,0.63705,0.80053,0.409,1.10518,7.24667e-05,7.24667e-05,7.24667e-05
89,487.776,0.59719,0.41644,0.99288,0.8767,0.93333,0.85261,0.63118,0.79168,0.39954,1.09479,6.3963e-05,6.3963e-05,6.3963e-05
90,493.245,0.59217,0.40627,0.9868,0.87492,0.93333,0.85261,0.63547,0.79447,0.39933,1.09869,5.61083e-05,5.61083e-05,5.61083e-05
91,559.65,0.51255,0.31941,0.93841,0.88008,0.93333,0.85261,0.60984,0.81361,0.41554,1.1389,4.89104e-05,4.89104e-05,4.89104e-05
92,565.114,0.50697,0.29981,0.94241,0.88222,0.93333,0.84986,0.60224,0.81497,0.42491,1.14289,4.23765e-05,4.23765e-05,4.23765e-05
93,570.5,0.49158,0.28545,0.92316,0.87931,0.93333,0.8479,0.60536,0.79601,0.41747,1.1251,3.65129e-05,3.65129e-05,3.65129e-05
94,575.858,0.48487,0.28577,0.92335,0.87643,0.93333,0.8479,0.61999,0.79339,0.41842,1.11834,3.13254e-05,3.13254e-05,3.13254e-05
95,581.055,0.49338,0.28477,0.93012,0.87797,0.93333,0.8488,0.6021,0.79706,0.41586,1.10593,2.68192e-05,2.68192e-05,2.68192e-05
96,586.297,0.48024,0.29257,0.92248,0.88041,0.93333,0.84986,0.60268,0.80528,0.41475,1.10324,2.29987e-05,2.29987e-05,2.29987e-05
97,591.648,0.46819,0.27604,0.91777,0.86817,0.93333,0.84803,0.60538,0.80226,0.42357,1.09596,1.98677e-05,1.98677e-05,1.98677e-05
98,597.01,0.47154,0.28364,0.91142,0.86605,0.93333,0.84803,0.6108,0.79762,0.41652,1.10475,1.74293e-05,1.74293e-05,1.74293e-05
99,602.325,0.47521,0.28691,0.93547,0.8631,0.93333,0.84803,0.61082,0.7859,0.4205,1.10054,1.56858e-05,1.56858e-05,1.56858e-05
100,607.536,0.46962,0.27306,0.9011,0.86417,0.93333,0.84803,0.61336,0.77998,0.4141,1.09664,1.4639e-05,1.4639e-05,1.4639e-05
