epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,544.999,0.76044,0.54473,1.0604,0.70985,0.66106,0.72544,0.6441,0.76792,1.63019,1.1554,0.000848969,0.000848969,0.000848969
43,564.965,0.7239,0.53706,1.05538,0.66524,0.72327,0.77492,0.6774,0.70425,1.57197,1.1062,0.000834822,0.000834822,0.000834822
44,585.19,0.79417,0.54147,1.0567,0.82629,0.71427,0.76887,0.66851,0.70901,1.56157,1.10485,0.000820675,0.000820675,0.000820675
45,612.823,0.72226,0.45918,1.072,0.94054,0.6,0.62751,0.52019,0.8033,1.75585,1.17639,0.000806528,0.000806528,0.000806528
46,631.476,0.71501,0.47865,1.01277,0.88204,0.51219,0.62236,0.5118,0.75733,2.19918,1.1206,0.00079238,0.00079238,0.00079238
47,647.301,0.72671,0.52391,0.99493,0.57033,0.63333,0.522,0.41846,0.82313,2.4177,1.12199,0.000778233,0.000778233,0.000778233
48,662.86,0.69513,0.44544,1.01633,0.78292,0.34542,0.31219,0.24695,0.94764,2.60942,1.19677,0.000764086,0.000764086,0.000764086
49,680.815,0.7442,0.51388,1.04162,0.74234,0.36667,0.38192,0.29768,1.19336,3.08208,1.30946,0.000749939,0.000749939,0.000749939
50,720.36,0.80508,0.54807,1.10099,0.47081,0.13234,0.12794,0.10517,0.89911,2.25766,1.13766,0.000735792,0.000735792,0.000735792
51,744.193,0.7345,0.50807,1.0237,0.56997,0.64892,0.6957,0.52744,0.89226,2.36876,1.14225,0.000721645,0.000721645,0.000721645
52,762.702,0.7246,0.50918,1.02282,0.71425,0.81353,0.83565,0.67505,0.74389,1.87136,1.04263,0.000707498,0.000707498,0.000707498
53,788.574,0.72236,0.50111,1.02254,0.68006,0.84457,0.73113,0.61481,0.65393,1.30718,0.99783,0.000693351,0.000693351,0.000693351
54,809.87,0.68469,0.4562,1.03486,0.61788,0.8,0.60128,0.50464,0.67231,0.88783,1.01257,0.000679204,0.000679204,0.000679204
55,830.066,0.69313,0.44603,0.98071,0.75131,0.56667,0.47795,0.34586,0.74258,0.76081,1.04806,0.000665057,0.000665057,0.000665057
56,856.08,0.66192,0.42292,0.98574,0.68812,0.33333,0.25267,0.1587,0.74205,0.7251,1.03821,0.000650909,0.000650909,0.000650909
57,878.005,0.70985,0.47633,1.03109,0.66631,0.4,0.32008,0.24983,0.6398,0.55854,0.98629,0.000636762,0.000636762,0.000636762
58,901.859,0.65825,0.43237,1.0246,0.67913,0.8,0.6166,0.52806,0.5918,0.57321,0.97345,0.000622615,0.000622615,0.000622615
59,922.457,0.66906,0.43539,1.0085,0.83363,0.4516,0.46911,0.41726,0.60012,0.606,0.97013,0.000608468,0.000608468,0.000608468
60,945.247,0.65655,0.44963,0.97666,0.88277,0.53826,0.56686,0.49971,0.66053,0.81271,0.99111,0.000594321,0.000594321,0.000594321
61,965.152,0.66961,0.43495,0.97302,0.82804,0.53525,0.56619,0.48329,0.71069,0.99492,1.01536,0.000580174,0.000580174,0.000580174
62,984.079,0.61944,0.44344,0.97043,0.87621,0.53333,0.55297,0.47762,0.66985,0.9212,0.99062,0.000566027,0.000566027,0.000566027
63,1006.42,0.651,0.42994,0.98455,0.82542,0.76508,0.73646,0.63375,0.64182,0.57851,0.96535,0.00055188,0.00055188,0.00055188
64,1027.09,0.66701,0.4207,0.96874,0.97717,0.53333,0.55719,0.45253,0.61929,0.50605,0.94473,0.000537733,0.000537733,0.000537733
65,1048.08,0.67258,0.45824,0.99353,0.966,0.44482,0.47318,0.37048,0.64273,0.44964,0.96214,0.000523586,0.000523586,0.000523586
66,1070.41,0.67944,0.47385,0.99069,0.98451,0.78375,0.80148,0.6893,0.60326,0.42174,0.9553,0.000509438,0.000509438,0.000509438
67,1090.71,0.6405,0.43399,0.99439,0.97356,0.56667,0.57394,0.45625,0.62307,0.38999,0.97915,0.000495291,0.000495291,0.000495291
68,1117.3,0.64874,0.44322,0.99152,0.96528,0.4,0.4198,0.31276,0.684,0.38482,1.01158,0.000481144,0.000481144,0.000481144
69,1136.47,0.61375,0.41971,0.98571,0.96741,0.53333,0.54689,0.39918,0.70813,0.36971,1.04608,0.000466997,0.000466997,0.000466997
70,1157.06,0.58349,0.38685,0.99006,0.97913,0.86667,0.86983,0.62122,0.68947,0.37848,1.0631,0.00045285,0.00045285,0.00045285
71,1176.35,0.58221,0.39917,0.94822,0.98455,0.93333,0.93488,0.67069,0.68479,0.38177,1.0732,0.000438703,0.000438703,0.000438703
72,1202.72,0.64515,0.42817,0.99419,0.8259,0.53333,0.56537,0.40726,0.66316,0.41419,1.03753,0.000424556,0.000424556,0.000424556
73,1234.05,0.58494,0.37009,0.93186,0.64453,0.13333,0.21357,0.19755,0.657,0.42064,1.03828,0.000410409,0.000410409,0.000410409
74,1256.93,0.58466,0.38826,0.96532,0.87355,0.9258,0.88372,0.6416,0.67842,0.42561,1.05144,0.000396262,0.000396262,0.000396262
75,1274.5,0.56568,0.38649,0.96885,0.84662,0.92738,0.88398,0.66471,0.68681,0.39684,1.0532,0.000382115,0.000382115,0.000382115
76,1294.03,0.52468,0.3466,0.92385,0.81583,0.93018,0.88367,0.66615,0.69933,0.38674,1.05357,0.000367967,0.000367967,0.000367967
77,1371.17,0.5571,0.37448,0.92021,0.8619,0.92721,0.88323,0.66998,0.70421,0.38808,1.03625,0.00035382,0.00035382,0.00035382
78,1394.33,0.52635,0.3592,0.92948,0.99055,0.9075,0.93933,0.72248,0.67885,0.41477,1.00445,0.000339673,0.000339673,0.000339673
79,1411.15,0.58776,0.38306,0.9688,0.87316,0.92983,0.8847,0.69029,0.65274,0.41253,0.97313,0.000325526,0.000325526,0.000325526
80,1463.89,0.56197,0.37233,0.95528,0.8475,0.90131,0.88576,0.72233,0.63256,0.4168,0.95578,0.000311379,0.000311379,0.000311379
81,1491.59,0.53319,0.36568,0.94179,0.84212,0.93333,0.88675,0.72133,0.6234,0.41428,0.94942,0.000297232,0.000297232,0.000297232
82,1545.01,0.58445,0.37516,0.95909,0.90035,0.33333,0.44958,0.34187,0.62805,0.41371,0.94838,0.000283085,0.000283085,0.000283085
83,1570.23,0.55527,0.37988,0.96862,0.81876,0.93333,0.94667,0.7462,0.63331,0.42776,0.94962,0.000268938,0.000268938,0.000268938
84,1588.63,0.5263,0.33735,0.95145,0.81205,0.93333,0.94618,0.75195,0.64649,0.42569,0.95085,0.000254791,0.000254791,0.000254791
85,1600.83,0.50379,0.32816,0.92015,0.88211,0.93333,0.94733,0.74361,0.64912,0.40178,0.94856,0.000240644,0.000240644,0.000240644
86,1614.9,0.55413,0.36895,0.95315,0.94062,0.93333,0.95269,0.79336,0.64341,0.38728,0.94513,0.000226497,0.000226497,0.000226497
87,1630.43,0.51089,0.3336,0.9251,0.97713,0.93333,0.95233,0.7754,0.61863,0.35489,0.93281,0.000212349,0.000212349,0.000212349
88,1643.7,0.51665,0.32428,0.94932,0.98715,0.93333,0.95452,0.79412,0.59785,0.32742,0.92673,0.000198202,0.000198202,0.000198202
